,Palabras,Etiqueta
0,nacer,9
1,dígito,3
2,agostar,3
3,actual,9
4,ser,7
5,futbolista,0
6,jugar,0
7,comer,1
8,delantero,0
9,alemania,8
10,consecuencia,0
11,guerra,5
12,familia,0
13,abandonar,7
14,mano,0
15,comenz,7
16,ftbol,5
17,parir,6
18,jug,8
19,fc,8
20,embargar,0
21,despus,8
22,slo,5
23,diez,3
24,mesar,0
25,san,8
26,luis,8
27,unidos,8
28,all,8
29,equipar,0
30,universidad,8
31,milisegundo,8
32,pas,8
33,nombrar,0
34,ao,8
35,paris,8
36,saint,8
37,francia,8
38,disponer,7
39,minuto,3
40,gol,0
41,temporada,5
42,mayar,3
43,aos,8
44,julio,3
45,club,5
46,alemn,8
47,campaa,9
48,haber,7
49,conseguir,7
50,primero,9
51,campeonato,5
52,debut,0
53,seleccin,8
54,marzo,3
55,titular,9
56,encontrar,7
57,﻿1,9
58,octubre,3
59,tambin,5
60,entonces,7
61,participar,7
62,copa,8
63,mundial,8
64,ingls,8
65,pgina,8
66,endofarticle,8
67,doc,8
68,paz,5
69,per,8
70,actor,0
71,amor,5
72,mara,8
73,esposo,0
74,lpez,8
75,garca,8
76,sobrar,2
77,eduardo,8
78,manuel,8
79,tierra,0
80,fernando,8
81,episodio,0
82,casar,0
83,carlos,8
84,tener,7
85,francs,8
86,profesor,0
87,dar,6
88,general,8
89,teora,0
90,tiempo,0
91,escuela,5
92,superior,9
93,pars,8
94,trmino,8
95,poder,7
96,referirse,7
97,francisco,8
98,cuadrar,0
99,nacido,9
100,destacar,7
101,cuyo,7
102,recordar,7
103,gran,9
104,estudi,8
105,cantar,7
106,piano,0
107,gan,3
108,cantante,0
109,msica,8
110,grabar,7
111,grande,9
112,festival,8
113,roma,8
114,new,4
115,york,8
116,et,8
117,gobierno,8
118,artista,0
119,revistar,0
120,trabajar,0
121,graham,8
122,londres,8
123,nueva,8
124,actualmente,7
125,vivir,7
126,director,0
127,hijo,0
128,ii,8
129,du,8
130,love,8
131,the,4
132,at,4
133,of,4
134,enlaces,8
135,externo,9
136,sitio,8
137,oficial,9
138,espaol,8
139,franco,8
140,provincia,5
141,buenos,8
142,aires,8
143,poltico,8
144,argentino,9
145,varios,6
146,vez,0
147,nacional,8
148,participacin,8
149,grupo,0
150,gobernar,8
151,miembro,0
152,partir,0
153,accin,0
154,repblica,8
155,recibi,8
156,derecho,0
157,fecho,0
158,trabaj,7
159,particular,0
160,joven,9
161,partido,8
162,frente,0
163,mismo,6
164,tras,2
165,derrotar,7
166,secretario,5
167,presidente,5
168,adems,8
169,ciudad,0
170,fundacin,8
171,electo,9
172,comisin,8
173,cmara,8
174,girar,0
175,comandante,0
176,principio,0
177,form,8
178,posterior,9
179,actividad,0
180,polticas,9
181,social,9
182,luchar,0
183,ex,9
184,ministro,5
185,economa,8
186,dirigir,9
187,autor,0
188,siguiente,9
189,libro,0
190,ley,5
191,congreso,8
192,municipio,0
193,trabajo,0
194,investigacin,8
195,cmo,5
196,interpretar,7
197,lado,0
198,valor,0
199,transicin,8
200,militar,9
201,significar,7
202,argentina,8
203,dentro,7
204,entrar,2
205,relacionar,9
206,seguridad,5
207,justicia,8
208,rey,5
209,griego,9
210,antiguar,9
211,pesar,0
212,sangrar,0
213,real,8
214,elegir,7
215,hacia,2
216,juntar,9
217,iii,8
218,muerte,0
219,parecer,7
220,nico,9
221,aunque,1
222,bajar,2
223,control,0
224,cercano,9
225,liga,8
226,enviar,7
227,decir,7
228,ligar,8
229,v,8
230,ejrcito,8
231,poner,0
232,llamar,9
233,territorio,0
234,propio,9
235,ayudar,0
236,deber,7
237,ocupar,7
238,litro,8
239,vida,0
240,frontero,0
241,occidental,9
242,hacer,7
243,mientras,1
244,objetivar,0
245,xito,5
246,atacar,0
247,intentar,7
248,paso,7
249,regresar,7
